source,target
butler,aristomachus
butler,philiseus
butler,plinie
butler,aristotle
butler,plinie
butler,columella
butler,varro
butler,palladius
butler,averroes
butler,s. ambrose
butler,isidore
butler,aristotle
butler,plinie
butler,georgius pictorius
butler,t. h
butler,plinie
butler,aristotle
butler,plinie
butler,plinie
butler,plinie
butler,aristotle
butler,aristotle
butler,s. james
butler,antiope
butler,orithya
butler,orithya
butler,aristotle
butler,columella
butler,aristotle
butler,plinie
butler,ambrose
butler,plinie
butler,aristotle
butler,plinie
butler,aristot
butler,plinie
butler,plinie
butler,plinie
butler,paulus jovius
butler,demetrius
butler,columella
butler,aristotle
butler,aristotle
butler,plinie
butler,plinie
butler,aristotle
butler,plinie
butler,s. james
butler,aristotle
butler,aristotle
butler,colum
butler,georgius pictorius
butler,jacobus sylvius
butler,hymettus
butler,hybla
butler,mathias de lobel
butler,athenaeus
butler,lycus
butler,lobel
butler,raimundus lullius
butler,john hester
butler,pollio romulus
butler,augustus
butler,lobel
butler,raimundus lullius
butler,origen
butler,cyprian
butler,chrysotome
butler,jerome
butler,ambrose
butler,augustine
butler,leo
butler,gregorie
butler,george carleton
butler,beda
butler,caesarius
butler,arelatenis episc. nicolaus lyra
butler,walafridus strabo
butler,charles
butler,william
butler,charles martel
butler,ambrose
butler,st thomas more
butler,jeroboam
butler,master thomas ridley
